ts_code,ts_latest_close,ts_days,ts_avg_amount_hkd,ts_median_amount_hkd
01302.HK,1.51,20,68961858.825,30572913.0
01303.HK,0.27,15,118144.66666666667,30280.0
01304.HK,120.2,20,71071184.29800001,61642778.0
01305.HK,0.94,19,190567.8947368421,90360.0
01308.HK,32.1,20,150826422.976,123711574.43
01310.HK,5.78,20,10830284.058500001,8787329.3
01312.HK,0.029,14,165932.57142857142,44805.0
01313.HK,1.09,20,20206262.773000002,17985500.560000002
01314.HK,0.133,16,90812.875,33121.0
01315.HK,0.115,15,8837.651666666667,6710.0
01316.HK,4.12,20,74857206.9205,51719315.875
01317.HK,0.182,19,109353.05263157895,78480.0
01318.HK,56.5,20,194454675.60999998,146675080.4
01319.HK,0.295,16,37132.345625,32400.0
01321.HK,0.69,15,162354.66666666666,86620.0
01323.HK,0.172,18,3121823.0636666664,971790.0
01327.HK,0.66,13,32829.07692307692,16800.0
01328.HK,4.28,20,499621.3,447450.0
01330.HK,5.66,20,10130708.2,8699525.0
01332.HK,0.127,18,35306.03261111111,32040.0
01333.HK,17.39,20,21684826.184,14332494.0
01334.HK,1.14,20,4619907.5,1848987.5
01335.HK,0.107,19,66001.68421052632,55804.0
01336.HK,49.8,20,445188189.92349994,413349389.71500003
01338.HK,0.03,20,38277.0,7591.0
01339.HK,5.16,20,234812249.69050002,209172171.835
01340.HK,0.086,20,759380.1692,289956.0
01341.HK,0.023,20,848486.4,633212.0
01343.HK,0.122,17,24623.823529411766,16700.0
01345.HK,2.29,18,161931.11111111112,173805.0
01346.HK,1.31,18,138264.44444444444,80080.0
01347.HK,168.1,20,6280792103.2655,5934236934.1
01348.HK,0.25,20,1156087.2,907210.0
01349.HK,2.32,20,8308628.0,3068950.0
01351.HK,0.239,19,78319.26315789473,48050.0
01354.HK,1.8,20,277648.5,235875.0
01355.HK,0.138,20,152351.275,137210.0
01357.HK,4.38,20,648925102.515,416829685.04999995
01358.HK,1.15,20,716028.35,653305.0
01359.HK,1.06,20,67019793.307,55893060.6
01361.HK,4.33,20,38869706.952999994,34900762.83
01362.HK,0.84,2,1755.0,1755.0
01364.HK,21.32,20,114853183.602,104472521.4
01368.HK,4.02,20,79580856.61,54940748.55
01370.HK,0.156,16,27779.4375,12904.5
01371.HK,0.167,19,53690.318105263155,38905.0
01372.HK,0.93,20,1742730.5,910895.0
01373.HK,0.7,20,179569.359,109195.0
01375.HK,1.75,20,21353243.301,19223522.5
01378.HK,22.74,20,1637525624.4220002,1438369387.93
01379.HK,2.4,5,13273.0,2400.0
01380.HK,0.63,20,612495.95,477425.0
01382.HK,0.91,20,1980058.7489999998,858215.0
01384.HK,48.82,20,380643057.3875,289513382.95
01385.HK,29.62,20,209087589.11949998,202123576.95
01388.HK,0.305,13,29338.46153846154,11300.0
01389.HK,0.35,19,126905.8042105263,83946.28
01393.HK,0.047,20,18008.4,16441.5
01395.HK,0.147,13,12963.461538461539,2810.0
01396.HK,12.73,20,91589889.92050001,85103709.825
01397.HK,0.96,19,186496.84210526315,148320.0
01398.HK,6.85,20,1321434159.832,1226640779.3600001
01399.HK,0.395,20,955883.5,351830.0
01400.HK,0.018,19,465311.07368421054,114620.0
01401.HK,0.25,20,1394323.0,1004015.0
01402.HK,0.25,17,56061.76470588235,41500.0
01405.HK,32.94,20,16957227.243,15201137.4
01407.HK,0.59,20,116673.0,90050.0
01408.HK,0.37,19,48090.52631578947,45200.0
01410.HK,0.82,20,1945520.0,1235950.0
01412.HK,1.03,15,114234.66666666667,105000.0
01413.HK,0.194,20,296808.9,190746.5
01415.HK,25.96,20,83353896.047,78902737.95
